"vehicle_id","route_id","route_short_name","destination","x_lon","y_lat","captured_at_jst","current_status","stop_name"
"H853","003","市01","豊洲市場","139.758499","35.666885","2026-05-08 11:25:58","IN_TRANSIT_TO","新橋駅前"
"G840","003","市01","新橋駅前","139.767227","35.664505","2026-05-08 11:25:58","IN_TRANSIT_TO","国立がん研究センター前"
"G828","008","RH01","渋谷駅前","139.730606","35.659233","2026-05-08 11:25:58","IN_TRANSIT_TO","六本木けやき坂"
"F558","008","RH01","渋谷駅前","139.707977","35.658092","2026-05-08 11:25:58","IN_TRANSIT_TO","渋谷三丁目"
"F552","006","都01（T01）","新橋駅前","139.702377","35.658806","2026-05-08 11:25:58","IN_TRANSIT_TO","渋谷駅前"
"G825","006","都01（T01）","新橋駅前","139.737656","35.666302","2026-05-08 11:25:58","IN_TRANSIT_TO","六本木一丁目駅前"
"E381","006","都01（T01）","新橋駅前","139.747803","35.670429","2026-05-08 11:25:58","IN_TRANSIT_TO","商船三井本社ビル前"
"D318","006","都01（T01）","新橋駅前","139.754181","35.668896","2026-05-08 11:25:58","IN_TRANSIT_TO","東亞合成本社前"
"B787","006","都01（T01）","渋谷駅前","139.754181","35.668652","2026-05-08 11:25:58","IN_TRANSIT_TO","東亞合成本社前"
"E382","006","都01（T01）","渋谷駅前","139.738312","35.666245","2026-05-08 11:25:58","IN_TRANSIT_TO","六本木一丁目駅前"
"D311","006","都01（T01）","渋谷駅前","139.73114","35.662521","2026-05-08 11:25:58","IN_TRANSIT_TO","六本木駅前"
"G734","006","都01（T01）","渋谷駅前","139.724625","35.659855","2026-05-08 11:25:58","IN_TRANSIT_TO","西麻布"
"E388","006","都01（T01）","赤坂アークヒルズ","139.702377","35.658806","2026-05-08 11:25:58","IN_TRANSIT_TO","渋谷駅前"
"G830","006","都01（T01）","赤坂アークヒルズ","139.718216","35.659405","2026-05-08 11:25:58","IN_TRANSIT_TO","南青山七丁目"
"D329","006","都01（T01）","赤坂アークヒルズ","139.722397","35.65976","2026-05-08 11:25:58","IN_TRANSIT_TO","西麻布"
"F559","006","都01（T01）","渋谷駅前","139.735962","35.66489","2026-05-08 11:25:58","IN_TRANSIT_TO","六本木四丁目"
"M402","006","都01（T01）","渋谷駅前","139.724625","35.659855","2026-05-08 11:25:58","IN_TRANSIT_TO","西麻布"
"D513","015","江東01","潮見駅前","139.816727","35.647259","2026-05-08 11:25:58","IN_TRANSIT_TO","港湾住宅前"
"E139","018","海01（KM01）","東京テレポート駅前","139.797256","35.654156","2026-05-08 11:25:58","IN_TRANSIT_TO","豊洲駅前"
