vehicle_id,route_id,route_short_name,route_display_name,route_label,destination,trip_id,pattern_id,stop_id,stop_name,next_stop_name,current_stop_name,current_status,timestamp,feed_timestamp,source,longitude,latitude
B789,006,都01（T01）,都01（T01） 渋谷駅前行,都01（T01）,渋谷駅前,08501-2-09-172-2211,8501,1036-02,虎ノ門,虎ノ門,,IN_TRANSIT_TO,1777641482,1777641609,odpt,139.750473,35.669865
B787,006,都01（T01）,都01（T01） 渋谷駅前行,都01（T01）,渋谷駅前,08501-2-09-172-2150,8501,1130-03,西麻布,西麻布,,IN_TRANSIT_TO,1777641457,1777641609,odpt,139.724625,35.659855
B785,006,都01（T01）,都01（T01） 赤坂アークヒルズ行,都01（T01）,赤坂アークヒルズ,08505-1-09-172-2211,8505,1469-04,南青山七丁目,南青山七丁目,,IN_TRANSIT_TO,1777641585,1777641609,odpt,139.718216,35.659405
D332,006,都01（T01）,都01（T01） 渋谷駅前行,都01（T01）,渋谷駅前,08505-2-09-172-2216,8505,1611-07,六本木四丁目,六本木四丁目,,IN_TRANSIT_TO,1777641542,1777641609,odpt,139.735962,35.66489
M399,006,都01（T01）,都01（T01） 渋谷駅前行,都01（T01）,渋谷駅前,08505-2-09-172-2210,8505,1609-02,六本木駅前,六本木駅前,,IN_TRANSIT_TO,1777641527,1777641609,odpt,139.73114,35.662521
L183,018,海01（KM01）,海01（KM01） 有明一丁目行,海01（KM01）,有明一丁目,72807-1-85-170-2202,72807,2204-02,浜園橋,浜園橋,,IN_TRANSIT_TO,1777641514,1777641609,odpt,139.799606,35.661827
L186,018,海01（KM01）,海01（KM01） 台場二丁目行,海01（KM01）,台場二丁目,72813-1-85-170-2147,72813,2144-02,有明一丁目,有明一丁目,,IN_TRANSIT_TO,1777641577,1777641609,odpt,139.785324,35.635143
E377,020,都02,都02 錦糸町駅前行,都02,錦糸町駅前,32301-1-45-170-2206,32301,1018-02,富坂上,富坂上,,IN_TRANSIT_TO,1777641485,1777641609,odpt,139.748917,35.709198
C226,020,都02,都02 錦糸町駅前行,都02,錦糸町駅前,32301-1-45-170-2151,32301,0135-08,上野広小路,上野広小路,,IN_TRANSIT_TO,1777641482,1777641609,odpt,139.771973,35.708187
K241,020,都02,都02 錦糸町駅前行,都02,錦糸町駅前,32301-1-45-170-2136,32301,2129-01,太平二丁目,太平二丁目,,IN_TRANSIT_TO,1777641555,1777641609,odpt,139.812225,35.701153
G809,020,都02,都02 大塚駅前行,都02,大塚駅前,32301-2-45-170-2217,32301,0441-01,錦糸公園前,錦糸公園前,,IN_TRANSIT_TO,1777641578,1777641609,odpt,139.814758,35.69923
M392,020,都02,都02 大塚駅前行,都02,大塚駅前,32301-2-45-170-2204,32301,0534-01,寿三丁目,寿三丁目,,IN_TRANSIT_TO,1777641593,1777641609,odpt,139.790253,35.706078
G799,020,都02,都02 大塚駅前行,都02,大塚駅前,32301-2-45-170-2151,32301,1575-01,湯島四丁目,湯島四丁目,,IN_TRANSIT_TO,1777641521,1777641609,odpt,139.764496,35.707363
B738,020,都02,都02 大塚駅前行,都02,大塚駅前,32301-2-45-170-2138,32301,0536-02,小日向四丁目,小日向四丁目,,IN_TRANSIT_TO,1777641581,1777641609,odpt,139.738724,35.716331
E374,026,都04,都04 東京駅丸の内南口行,都04,東京駅丸の内南口,72301-1-06-170-2215,72301,0327-02,勝どき三丁目,勝どき三丁目,,IN_TRANSIT_TO,1777641484,1777641609,odpt,139.775711,35.658115
B714,026,都04,都04 豊海水産埠頭行,都04,豊海水産埠頭,72301-2-06-170-2200,72301,0326-06,勝どき駅前,勝どき駅前,,IN_TRANSIT_TO,1777641538,1777641609,odpt,139.777084,35.658768
F553,031,都06,都06 渋谷駅前行,都06,渋谷駅前,08601-2-09-172-2200,8601,0587-02,三ノ橋,三ノ橋,,IN_TRANSIT_TO,1777641573,1777641609,odpt,139.736969,35.649521
L314,031,都06,都06 渋谷駅前行,都06,渋谷駅前,08602-2-09-172-2200,8602,0640-08,渋谷橋,渋谷橋,,IN_TRANSIT_TO,1777641506,1777641609,odpt,139.712097,35.648552
M463,036,都07,都07 門前仲町行,都07,門前仲町,60101-1-65-170-2215,60101,0368-14,亀戸駅通り,亀戸駅通り,,IN_TRANSIT_TO,1777641560,1777641609,odpt,139.825943,35.69569
W439,036,都07,都07 門前仲町行,都07,門前仲町,60101-1-65-170-2205,60101,0565-04,境川,境川,,IN_TRANSIT_TO,1777641525,1777641609,odpt,139.827148,35.676605
A652,036,都07,都07 門前仲町行,都07,門前仲町,60101-1-65-170-2155,60101,0426-01,木場二丁目,木場二丁目,,IN_TRANSIT_TO,1777641586,1777641609,odpt,139.803436,35.669418
F622,036,都07,都07 錦糸町駅前行,都07,錦糸町駅前,60101-2-65-170-2211,60101,0987-02,東陽操車所前,東陽操車所前,,IN_TRANSIT_TO,1777641593,1777641609,odpt,139.813736,35.669556
W469,036,都07,都07 錦糸町駅前行,都07,錦糸町駅前,60101-2-65-170-2201,60101,0234-02,大島一丁目,大島一丁目,,IN_TRANSIT_TO,1777641597,1777641609,odpt,139.826401,35.687378
M467,036,都07,都07 錦糸町駅前行,都07,錦糸町駅前,60101-2-65-170-2151,60101,2218-01,亀戸一丁目,亀戸一丁目,,IN_TRANSIT_TO,1777641505,1777641609,odpt,139.82103,35.696182
E440,038,都08（T08）,都08（T08） 下谷警察署前行,都08（T08）,下谷警察署前,52405-1-57-170-2218,52405,1310-02,東日暮里五丁目,東日暮里五丁目,,IN_TRANSIT_TO,1777641581,1777641609,odpt,139.775269,35.728657
D305,041,,,041,,,,1025-11,豊洲駅前,豊洲駅前,,IN_TRANSIT_TO,1777641562,1777641609,odpt,139.797256,35.654156
F143,045,木11甲,木11甲 新木場駅前（構内）行,木11甲,新木場駅前（構内）,72009-1-81-170-2213,72009,0717-01,新砂一丁目,新砂一丁目,,IN_TRANSIT_TO,1777641542,1777641609,odpt,139.824127,35.658436
W404,046,錦13,錦13 豊洲駅前行,錦13,豊洲駅前,72102-1-81-170-2215,72102,1533-01,毛利二丁目,毛利二丁目,,IN_TRANSIT_TO,1777641490,1777641609,odpt,139.815552,35.691906
Y482,046,錦13,錦13 晴海埠頭行,錦13,晴海埠頭,72112-1-81-170-2200,72112,0594-02,塩浜二丁目,塩浜二丁目,,IN_TRANSIT_TO,1777641547,1777641609,odpt,139.806488,35.661606
Y478,046,錦13,錦13 錦糸町駅前行,錦13,錦糸町駅前,72112-2-81-170-2143,72112,0789-05,住吉一丁目,住吉一丁目,,IN_TRANSIT_TO,1777641569,1777641609,odpt,139.810623,35.689278
F653,050,東16,東16 深川車庫前行,東16,深川車庫前,73005-1-81-170-2155,73005,2312-01,新月島公園前,新月島公園前,,IN_TRANSIT_TO,1777641551,1777641609,odpt,139.788269,35.659458
B778,049,東15,東15 深川車庫前行,東15,深川車庫前,72201-2-81-170-2200,72201,0325-02,勝どき橋南詰,勝どき橋南詰,,IN_TRANSIT_TO,1777641518,1777641609,odpt,139.776581,35.660614
F144,052,門19,門19 門前仲町行,門19,門前仲町,72703-1-81-170-2210,72703,0888-01,辰巳橋,辰巳橋,,IN_TRANSIT_TO,1777641538,1777641609,odpt,139.807312,35.650135
F145,052,門19,門19 深川車庫前行,門19,深川車庫前,72703-2-81-170-2209,72703,1021-02,豊洲四丁目,豊洲四丁目,,IN_TRANSIT_TO,1777641539,1777641609,odpt,139.798401,35.655632
H972,056,西葛20甲,西葛20甲 なぎさニュータウン行,西葛20甲,なぎさニュータウン,69201-1-77-170-2215,69201,1070-03,中葛西七丁目,中葛西七丁目,,IN_TRANSIT_TO,1777641594,1777641609,odpt,139.864395,35.656593
G733,057,西葛20乙,西葛20乙 西葛西駅前行,西葛20乙,西葛西駅前,69202-2-77-170-2213,69202,2062-02,葛西トラックターミナル,葛西トラックターミナル,,IN_TRANSIT_TO,1777641531,1777641609,odpt,139.863556,35.647778
M194,058,亀21,亀21 東陽町駅前行,亀21,東陽町駅前,60001-2-85-170-2200,60001,1297-01,東砂六丁目,東砂六丁目,,IN_TRANSIT_TO,1777641480,1777641609,odpt,139.840836,35.672909
